rank,goods_no,goods_name,price,sale_price,sale_rate,review_count,review_score,product_url
1,6092190,[한소희 PICK] [UV 프로텍션] 우먼즈 시어 윈드브레이커 (5 colors),55900,55900,0,140,98,https://www.musinsa.com/products/6092190
2,6092187,[한소희 PICK] 우먼즈 코튼 커브드 팬츠 (3 colors),49900,47410,5,381,96,https://www.musinsa.com/products/6092187
3,1618312,우먼즈 오버사이즈 블레이저 [블랙],89900,44950,50,12807,98,https://www.musinsa.com/products/1618312
4,3753637,[한소희 PICK] 우먼즈 슬림 크루 넥 티셔츠 [화이트],15900,14790,7,4719,96,https://www.musinsa.com/products/3753637
5,1803462,[한소희 PICK] 우먼즈 베이식 블레이저 [블랙],89900,62930,30,4098,98,https://www.musinsa.com/products/1803462
6,2724650,우먼즈 베이식 크루 넥 티셔츠 2팩,31800,20670,35,8048,98,https://www.musinsa.com/products/2724650
7,3758435,우먼즈 CP 맥시 스커트 [화이트],49900,49900,0,691,98,https://www.musinsa.com/products/3758435
8,5829495,우먼즈 나일론 슬라우치 숄더백 [블랙],89900,85410,5,56,98,https://www.musinsa.com/products/5829495
9,2820939,우먼즈 더블 니트 투 턱 와이드 라운지 스웨트 팬츠 [블랙],39900,31920,20,4253,96,https://www.musinsa.com/products/2820939
10,5721301,[한소희 PICK] 우먼즈 돌먼 필드 재킷 [크림],129900,103920,20,44,100,https://www.musinsa.com/products/5721301
11,5671241,우먼즈 폴카 도트 윈드브레이커 재킷 [블랙],79900,63920,20,48,98,https://www.musinsa.com/products/5671241
12,2818150,우먼즈 와이드 카고 팬츠 [블랙],55900,39130,30,4483,96,https://www.musinsa.com/products/2818150
13,5287054,[한소희 PICK] 우먼즈 커브드 데님 팬츠 [미디엄 인디고],49900,49900,0,316,96,https://www.musinsa.com/products/5287054
14,4651725,우먼즈 오버사이즈 하이넥 윈드브레이커 재킷 [블랙],59900,41930,30,289,96,https://www.musinsa.com/products/4651725
15,1243054,우먼즈 베이식 이탈리안 레더 벨트_23mm,29900,19440,35,7229,96,https://www.musinsa.com/products/1243054
16,2149536,우먼즈 오버사이즈 블레이저 [미디엄 그레이],89900,53940,40,1799,98,https://www.musinsa.com/products/2149536
17,1417691,우먼즈 베이식 크루 넥 티셔츠 [화이트],15900,11130,30,30235,98,https://www.musinsa.com/products/1417691
18,4651407,우먼즈 슬림 크루 넥 티셔츠 2팩,31800,19080,40,377,96,https://www.musinsa.com/products/4651407
19,1596414,우먼즈 와이드 히든 밴딩 슬랙스 [블랙],45900,36720,20,9912,96,https://www.musinsa.com/products/1596414
20,2978126,우먼즈 파라슈트 팬츠 [건메탈],55900,36340,35,1581,98,https://www.musinsa.com/products/2978126
21,2978123,우먼즈 파라슈트 팬츠 [블랙],55900,36340,35,2297,98,https://www.musinsa.com/products/2978123
22,5721302,우먼즈 돌먼 필드 재킷 [라이트 그레이],129900,103920,20,25,98,https://www.musinsa.com/products/5721302
23,3425498,우먼즈 데님 맥시 스커트 [딥 인디고],49900,49900,0,397,96,https://www.musinsa.com/products/3425498
24,5166592,우먼즈 커브드 치노 팬츠 [베이지],49900,49900,0,172,96,https://www.musinsa.com/products/5166592
25,5151475,우먼즈 신세틱 스웨이드 하이넥 블루종 재킷 [라이트 브라운],129900,90930,30,156,98,https://www.musinsa.com/products/5151475
26,3052664,[쿨탠다드] 우먼즈 베이식 크루 넥 티셔츠 2팩,39800,25870,35,2853,98,https://www.musinsa.com/products/3052664
27,1357769,우먼즈 와이드 데님 팬츠 [크림],49900,39920,20,2024,96,https://www.musinsa.com/products/1357769
28,5721297,우먼즈 싱글 하프 트렌치 코트 [크림],129900,77940,40,30,96,https://www.musinsa.com/products/5721297
29,3445169,우먼즈 신세틱 레더 슬림 벨트_20mm,16900,10140,40,4687,96,https://www.musinsa.com/products/3445169
30,3790852,[세은 PICK] 우먼즈 시어 후디드 윈드브레이커 재킷 [민트 그레이],49900,49900,0,875,98,https://www.musinsa.com/products/3790852
31,2820940,우먼즈 더블 니트 투 턱 와이드 라운지 스웨트 팬츠 [미디엄 그레이],39900,31920,20,5306,96,https://www.musinsa.com/products/2820940
32,5661619,우먼즈 나일론 루치드 롱 스커트 [애쉬 그레이],59900,59900,0,28,100,https://www.musinsa.com/products/5661619
33,2551390,우먼즈 하이 웨이스트 와이드 히든 밴딩 슬랙스 [블랙],45900,36720,20,3809,96,https://www.musinsa.com/products/2551390
34,3323598,[한소희 PICK] 우먼즈 슬림 핏 셔츠 [화이트],39900,39900,0,1358,96,https://www.musinsa.com/products/3323598
35,3051707,우먼즈 코튼 블루종 재킷 [블랙],89900,71920,20,472,96,https://www.musinsa.com/products/3051707
36,5671238,우먼즈 셔링 하이 넥 윈드브레이커 재킷 [퍼플 그레이],79900,79900,0,23,100,https://www.musinsa.com/products/5671238
37,5820431,[한소희 PICK] 우먼즈 페이디드 신세틱 레더 에비에이터 재킷 [블랙],159900,127920,20,48,98,https://www.musinsa.com/products/5820431
38,1932037,[쿨탠다드] 우먼즈 베이식 크루 넥 티셔츠 [화이트],19900,18510,7,4109,98,https://www.musinsa.com/products/1932037
39,5671244,우먼즈 시어 볼륨 윈드브레이커 재킷 [라이트 그레이],79900,63920,20,13,100,https://www.musinsa.com/products/5671244
40,5892071,우먼즈 커브드 데님 팬츠 [라이트 인디고],49900,49900,0,24,94,https://www.musinsa.com/products/5892071
41,3753636,우먼즈 슬림 크루 넥 티셔츠 [블랙],15900,14790,7,2572,98,https://www.musinsa.com/products/3753636
42,3753631,[쿨탠다드] 우먼즈 베리어블 라운지 스웨트 팬츠 [블랙],39900,39900,0,1551,96,https://www.musinsa.com/products/3753631
43,5287052,우먼즈 커브드 데님 팬츠 [워시드 블랙],49900,49900,0,203,96,https://www.musinsa.com/products/5287052
44,4644447,[한소희 PICK] 우먼즈 로 웨이스트 딥 턱 엑스트라 와이드 히든 밴딩 슬랙스 [블랙],49900,49900,0,159,96,https://www.musinsa.com/products/4644447
45,3417709,우먼즈 슬림 크루 넥 긴소매 티셔츠 [화이트],19900,19900,0,5578,96,https://www.musinsa.com/products/3417709
46,5829493,우먼즈 나일론 호보백 [블랙],59900,56910,5,38,96,https://www.musinsa.com/products/5829493
47,5661620,우먼즈 나일론 루치드 롱 스커트 [블랙],59900,59900,0,27,94,https://www.musinsa.com/products/5661620
48,6121803,[쿨탠다드] 우먼즈 슬림 크루 넥 티셔츠 (5 colors),19900,19900,0,37,100,https://www.musinsa.com/products/6121803
49,2792571,우먼즈 세미 부츠 컷 히든 밴딩 슬랙스 [블랙],45900,45900,0,1452,96,https://www.musinsa.com/products/2792571
50,4677944,우먼즈 나일론 플랩 미니 백팩 [블랙],89900,80910,10,147,98,https://www.musinsa.com/products/4677944
